"","transmitter_id","total_movement"
"1",48452,0
"2",48453,410.5
"3",48454,0.700000000000017
"4",48455,1.19999999999999
"5",48456,211.6
"6",48457,396.1
"7",48458,365.6
"8",48459,1.19999999999999
"9",48460,408.5
"10",48461,0
"11",48462,831.1
"12",48463,23.6
"13",48464,391.2
"14",48465,0
"15",48466,912.4
"16",48467,0
"17",48468,299.2
"18",48469,455.6
"19",48470,0
"20",48471,0
"21",48472,0
"22",48473,0
"23",48474,0
"24",48475,0
"25",48476,0
"26",48477,1.3
"27",48478,450.7
"28",48479,1.3
"29",48480,0
"30",48481,0
"31",48482,2.2
"32",48483,2.2
"33",48484,30.4
"34",48485,2.2
"35",48486,0
"36",48487,532.6
"37",48488,3.4
"38",48489,0
"39",48490,0
"40",48491,1385.1
"41",48724,0
"42",48725,551.6
"43",48726,19.3
"44",48727,895
"45",48728,1292.3
"46",48729,0.700000000000017
"47",48730,690.3
"48",48731,732.5
"49",48732,691.8
"50",48733,711.9
