"","transmitter_id","date","total_movement","day_interval","interval","date_prev","daily_movement","change_flow_24","change_flow_48","Flow","flow_s","change_flow_24_s","change_flow_48_s","week"
"1",48452,2021-06-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",48453,2021-06-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",48453,2021-09-21,4,9158400,106,2021-06-07,0,14,-29,170,-0.67713889754146,0.169216191034444,-0.496332400703015,23
"4",48453,2021-09-23,0,172800,2,2021-09-21,0,5.7,5.39999999999999,88.8,-0.745394423266667,-0.014421626037509,-0.0855015909871164,38
"5",48453,2021-10-28,0,3024000,35,2021-09-23,0,-2.5,2.8,91.6,-0.743040784448557,-0.195846939289318,-0.116552756837737,38
"6",48453,2021-10-29,0,86400,1,2021-10-28,0,40,53,180,-0.668733044619636,0.744467184271886,0.482973599201162,43
"7",48453,2021-10-30,0,86400,1,2021-10-29,0,8,48,188,-0.662008362282177,0.0364659618258032,0.4232598187192,44
"8",48453,2021-11-22,6,1987200,23,2021-10-30,0,11,19,199,-0.652761924068171,0.102841076430123,0.0769198919238203,44
"9",48453,2021-11-23,0,86400,1,2021-11-22,0,-2,-14,391,-0.491369547969157,-0.184784420188598,-0.317191059257129,47
"10",48453,2021-11-24,0,86400,1,2021-11-23,0,3,1,394,-0.48884779209261,-0.0741592291813973,-0.138049717811243,47
"11",48453,2021-11-25,0,86400,1,2021-11-24,0,5,8,399,-0.484644865631698,-0.0299091527785171,-0.054450425136496,47
"12",48453,2021-11-26,0,86400,1,2021-11-25,0,2,7,401,-0.482963695047334,-0.0962842673828374,-0.0663931812328884,47
"13",48453,2021-11-28,0,172800,2,2021-11-26,0,-13,-11,388,-0.493891303845704,-0.428159840404439,-0.281362790967952,48
"14",48453,2021-11-30,0,172800,2,2021-11-28,0,-30,-26,362,-0.515746521442446,-0.80428548982892,-0.460504132413838,48
"15",48453,2021-12-05,0,432000,5,2021-11-30,0,14,-7,355,-0.521630618487722,0.169216191034444,-0.233591766582382,48
"16",48453,2021-12-06,0,86400,1,2021-12-05,0,-13,-24,337,-0.536761153747005,-0.428159840404439,-0.436618620221053,49
"17",48453,2021-12-07,0,86400,1,2021-12-06,0,3,-10,340,-0.534239397870458,-0.0741592291813973,-0.269420034871559,49
"18",48453,2021-12-08,0,86400,1,2021-12-07,0,-103,-100,237,-0.620819682965241,-2.41941327853405,-1.34426808354687,49
"19",48453,2021-12-09,0,86400,1,2021-12-08,0,100,-3,337,-0.536761153747005,2.07196947635829,-0.185820742196812,49
"20",48453,2021-12-10,0,86400,1,2021-12-09,0,43,143,380,-0.500615986183163,0.810842298876206,1.55782164787648,49
"21",48453,2021-12-11,0,86400,1,2021-12-10,0,-112,-69,268,-0.594761538907588,-2.61853862234701,-0.97404264455871,50
"22",48453,2021-12-12,0,86400,1,2021-12-11,0,-52,-164,216,-0.638471974101071,-1.2910363302606,-2.10860447371599,50
"23",48453,2021-12-13,0,86400,1,2021-12-12,0,141,89,357,-0.519949447903358,2.97909604261733,0.912912818671288,50
"24",48453,2021-12-14,0,86400,1,2021-12-13,0,56,197,413,-0.472876671541145,1.09846779549493,2.20273047708167,50
"25",48453,2021-12-15,0,86400,1,2021-12-14,0,0,56,413,-0.472876671541145,-0.140534343785718,0.518801867490339,50
"26",48453,2021-12-16,0,86400,1,2021-12-15,0,-16,-16,397,-0.486326036216063,-0.494534955008759,-0.341076571449914,50
"27",48453,2021-12-20,0,345600,4,2021-12-16,0,-181,-197,216,-0.638471974101071,-4.14516625824637,-2.50271542489694,50
"28",48453,2021-12-22,0,172800,2,2021-12-20,0,34,-38,214,-0.640153144685435,0.611716955063245,-0.603817205570546,51
"29",48453,2021-12-26,0,345600,4,2021-12-22,0,12,16,230,-0.626703780010518,0.124966114631563,0.0410916236346431,51
"30",48453,2021-12-28,0,172800,2,2021-12-26,0,-13,-34,187,-0.662848947574359,-0.428159840404439,-0.556046181184977,52
"31",48453,2021-12-29,0,86400,1,2021-12-28,0,0,-10,177,-0.671254800496183,-0.140534343785718,-0.269420034871559,52
"32",48453,2022-01-07,0,777600,9,2021-12-29,0,-16,-16,161,-0.684704165171101,-0.494534955008759,-0.341076571449914,52
"33",48453,2022-01-08,0,86400,1,2022-01-07,0,2,-6,105,-0.731776941533313,-0.0962842673828374,-0.22164901048599,1
"34",48453,2022-01-09,0,86400,1,2022-01-08,0,1,3,106,-0.730936356241131,-0.118409305584277,-0.114164205618458,2
"35",48453,2022-01-10,0,86400,1,2022-01-09,0,-1,0,105,-0.731776941533313,-0.162659381987158,-0.149992473907635,2
"36",48453,2022-01-11,0,86400,1,2022-01-10,0,0,-1,105,-0.731776941533313,-0.140534343785718,-0.161935230004028,2
"37",48453,2022-01-12,0,86400,1,2022-01-11,0,0,0,105,-0.731776941533313,-0.140534343785718,-0.149992473907635,2
"38",48453,2022-01-13,0,86400,1,2022-01-12,0,1,1,106,-0.730936356241131,-0.118409305584277,-0.138049717811243,2
"39",48453,2022-01-14,0,86400,1,2022-01-13,0,1,2,107,-0.730095770948948,-0.118409305584277,-0.12610696171485,2
"40",48453,2022-01-15,0,86400,1,2022-01-14,0,3,4,110,-0.727574015072401,-0.0741592291813973,-0.102221449522066,2
"41",48453,2022-01-16,0,86400,1,2022-01-15,0,1,4,111,-0.726733429780219,-0.118409305584277,-0.102221449522066,3
"42",48453,2022-01-17,0,86400,1,2022-01-16,0,0,1,111,-0.726733429780219,-0.140534343785718,-0.138049717811243,3
"43",48453,2022-01-18,0,86400,1,2022-01-17,0,1,1,112,-0.725892844488037,-0.118409305584277,-0.138049717811243,3
"44",48453,2022-01-19,0,86400,1,2022-01-18,0,0,1,112,-0.725892844488037,-0.140534343785718,-0.138049717811243,3
"45",48453,2022-01-20,0,86400,1,2022-01-19,0,0,0,112,-0.725892844488037,-0.140534343785718,-0.149992473907635,3
"46",48453,2022-01-21,0,86400,1,2022-01-20,0,-2,-2,110,-0.727574015072401,-0.184784420188598,-0.17387798610042,3
"47",48453,2022-01-22,0,86400,1,2022-01-21,0,-1,-3,109,-0.728414600364584,-0.162659381987158,-0.185820742196812,3
"48",48453,2022-01-23,0,86400,1,2022-01-22,0,-2,-3,107,-0.730095770948948,-0.184784420188598,-0.185820742196812,4
"49",48453,2022-01-24,0,86400,1,2022-01-23,0,-1,-3,106,-0.730936356241131,-0.162659381987158,-0.185820742196812,4
"50",48453,2022-01-25,0,86400,1,2022-01-24,0,-2,-3,104,-0.732617526825496,-0.184784420188598,-0.185820742196812,4
"51",48453,2022-01-26,0,86400,1,2022-01-25,0,-2,-4,102,-0.73429869740986,-0.184784420188598,-0.197763498293205,4
"52",48453,2022-01-27,0,86400,1,2022-01-26,0,-1,-3,101,-0.735139282702043,-0.162659381987158,-0.185820742196812,4
"53",48453,2022-01-28,0,86400,1,2022-01-27,0,0,-1,101,-0.735139282702043,-0.140534343785718,-0.161935230004028,4
"54",48453,2022-01-30,0,172800,2,2022-01-28,0,0,0,101,-0.735139282702043,-0.140534343785718,-0.149992473907635,4
"55",48453,2022-01-31,0,86400,1,2022-01-30,0,0,-1,100,-0.735979867994225,-0.140534343785718,-0.161935230004028,5
"56",48453,2022-02-01,0,86400,1,2022-01-31,0,0,0,100,-0.735979867994225,-0.140534343785718,-0.149992473907635,5
"57",48453,2022-03-18,0,3888000,45,2022-02-01,0,0,0,100,-0.735979867994225,-0.140534343785718,-0.149992473907635,5
"58",48453,2022-03-19,0,86400,1,2022-03-18,0,14,24,130,-0.710762309228754,0.169216191034444,0.136633672405782,11
"59",48453,2022-03-20,0,86400,1,2022-03-19,0,11,25,141,-0.701515871014748,0.102841076430123,0.148576428502175,12
"60",48453,2022-04-03,6,1209600,14,2022-03-20,0,8,19,149,-0.694791188677289,0.0364659618258032,0.0769198919238203,12
"61",48453,2022-04-04,0,86400,1,2022-04-03,0,169,285,510,-0.391339898199456,3.59859711225766,3.2536930135642,14
"62",48453,2022-04-05,0,86400,1,2022-04-04,0,162,331,672,-0.255165080865913,3.44372184484758,3.80305979399825,14
"63",48453,2022-04-06,0,86400,1,2022-04-05,0,17,179,689,-0.240875130898813,0.235591305638764,1.9877608673466,14
"64",48453,2022-04-07,0,86400,1,2022-04-06,0,39,56,728,-0.208092304503701,0.722342146070446,0.518801867490339,14
"65",48453,2022-04-08,0,86400,1,2022-04-07,0,68,107,796,-0.1509325046353,1.36396825391221,1.12788242840635,14
"66",48453,2022-04-09,0,86400,1,2022-04-08,0,52,120,848,-0.107222069441817,1.00996764268917,1.28313825765945,14
"67",48453,2022-04-10,0,86400,1,2022-04-09,0,-47,5,801,-0.146729578174388,-1.1804111392534,-0.0902786934256732,15
"68",48453,2022-04-11,0,86400,1,2022-04-10,0,-3,-50,798,-0.149251334050935,-0.206909458390038,-0.747130278727255,15
"69",48453,2022-04-12,0,86400,1,2022-04-11,0,13,10,811,-0.138323725252565,0.147091152833004,-0.0305649129437112,15
"70",48453,2022-04-13,0,86400,1,2022-04-12,0,-47,-34,764,-0.177831233985136,-1.1804111392534,-0.556046181184977,15
"71",48453,2022-04-14,0,86400,1,2022-04-13,0,-53,-100,711,-0.222382254470801,-1.31316136846204,-1.34426808354687,15
"72",48453,2022-04-15,0,86400,1,2022-04-14,0,33,-20,744,-0.194642939828783,0.589591916861805,-0.388847595835483,15
