agency_cd,site_no,Date,Flow,Flow_cd,GH,GH_cd,name
USGS,06478500,2021-06-01,268,A,4.79,A,James River Near Scotland
USGS,06478500,2021-06-02,250,A,4.74,A,James River Near Scotland
USGS,06478500,2021-06-03,231,A,4.69,A,James River Near Scotland
USGS,06478500,2021-06-04,215,A,4.64,A,James River Near Scotland
USGS,06478500,2021-06-05,199,A,4.59,A,James River Near Scotland
USGS,06478500,2021-06-06,156,A,4.44,A,James River Near Scotland
USGS,06478500,2021-06-07,170,A,4.49,A,James River Near Scotland
USGS,06478500,2021-06-08,175,A,4.51,A,James River Near Scotland
USGS,06478500,2021-06-09,170,A,4.49,A,James River Near Scotland
USGS,06478500,2021-06-10,167,A,4.47,A,James River Near Scotland
USGS,06478500,2021-06-11,192,A,4.55,A,James River Near Scotland
USGS,06478500,2021-06-12,189,A,4.54,A,James River Near Scotland
USGS,06478500,2021-06-13,173,A,4.49,A,James River Near Scotland
USGS,06478500,2021-06-14,161,A,4.44,A,James River Near Scotland
USGS,06478500,2021-06-15,147,A,4.39,A,James River Near Scotland
USGS,06478500,2021-06-16,131,A,4.32,A,James River Near Scotland
USGS,06478500,2021-06-17,120,A,4.27,A,James River Near Scotland
USGS,06478500,2021-06-18,116,A,4.25,A,James River Near Scotland
USGS,06478500,2021-06-19,110,A,4.23,A,James River Near Scotland
USGS,06478500,2021-06-20,103,A,4.18,A,James River Near Scotland
USGS,06478500,2021-06-21,101,A,4.17,A,James River Near Scotland
USGS,06478500,2021-06-22,94.7,A,4.13,A,James River Near Scotland
USGS,06478500,2021-06-23,84.7,A,4.06,A,James River Near Scotland
USGS,06478500,2021-06-24,79.4,A,4.02,A,James River Near Scotland
USGS,06478500,2021-06-25,77.3,A,4,A,James River Near Scotland
USGS,06478500,2021-06-26,77,A,4,A,James River Near Scotland
USGS,06478500,2021-06-27,74.5,A,3.98,A,James River Near Scotland
USGS,06478500,2021-06-28,75.6,A,3.99,A,James River Near Scotland
USGS,06478500,2021-06-29,75.4,A,3.99,A,James River Near Scotland
USGS,06478500,2021-06-30,69.4,A,3.94,A,James River Near Scotland
USGS,06478500,2021-07-01,66.4,A,3.91,A,James River Near Scotland
USGS,06478500,2021-07-02,63.1,A,3.88,A,James River Near Scotland
