"Plot Title: Hwy_50_Temp"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022938, SEN S/N: 21022938)","Intensity, lum/ft² (LGR S/N: 21022938, SEN S/N: 21022938)","Coupler Detached (LGR S/N: 21022938)","Bad Battery (LGR S/N: 21022938)","End Of File (LGR S/N: 21022938)"
1,07/12/21 10:08:56 AM,70.995,0.0,,,
2,07/12/21 10:09:19 AM,,,Logged,,
3,07/12/21 12:08:56 PM,71.856,0.0,,,
4,07/12/21 02:08:56 PM,74.098,0.0,,,
5,07/12/21 04:08:56 PM,72.891,0.0,,,
6,07/12/21 06:08:56 PM,72.718,0.0,,,
7,07/12/21 08:08:56 PM,72.718,0.0,,,
8,07/12/21 10:08:56 PM,72.028,0.0,,,
9,07/13/21 12:08:56 AM,71.339,0.0,,,
10,07/13/21 02:08:56 AM,71.339,0.0,,,
11,07/13/21 04:08:56 AM,71.512,0.0,,,
12,07/13/21 06:08:56 AM,71.339,0.0,,,
13,07/13/21 08:08:56 AM,71.339,0.0,,,
14,07/13/21 10:08:56 AM,71.512,0.0,,,
15,07/13/21 12:08:56 PM,76.181,0.0,,,
16,07/13/21 02:08:56 PM,80.735,0.0,,,
17,07/13/21 04:08:56 PM,76.703,0.0,,,
18,07/13/21 06:08:56 PM,74.098,0.0,,,
19,07/13/21 08:08:56 PM,73.062,0.0,,,
20,07/13/21 10:08:56 PM,73.926,0.0,,,
21,07/14/21 12:08:56 AM,72.718,0.0,,,
22,07/14/21 02:08:56 AM,72.199,0.0,,,
23,07/14/21 04:08:56 AM,72.028,0.0,,,
24,07/14/21 06:08:56 AM,72.028,0.0,,,
25,07/14/21 08:08:56 AM,72.028,0.0,,,
26,07/14/21 10:08:56 AM,72.545,0.0,,,
27,07/14/21 12:08:56 PM,72.718,0.0,,,
28,07/14/21 02:08:56 PM,73.062,0.0,,,
29,07/14/21 04:08:56 PM,75.659,0.0,,,
30,07/14/21 06:08:56 PM,76.876,0.0,,,
31,07/14/21 08:08:56 PM,74.098,0.0,,,
32,07/14/21 10:08:56 PM,73.234,0.0,,,
33,07/15/21 12:08:56 AM,72.028,0.0,,,
34,07/15/21 02:08:56 AM,71.683,0.0,,,
35,07/15/21 04:08:56 AM,71.683,0.0,,,
36,07/15/21 06:08:56 AM,71.168,0.0,,,
37,07/15/21 08:08:56 AM,71.339,0.0,,,
38,07/15/21 10:08:56 AM,71.512,0.0,,,
