"","transmitter_id","date","total_movement","day_interval","interval","date_prev","daily_movement","change_flow_24","change_flow_48","Flow","flow_s","change_flow_24_s","change_flow_48_s","week","move_no_move","year","mean_temp","mean_do"
"1",48453,2022-06-20,130,86400,1,2022-06-19,130,-20,20,4390,2.87013103546811,-0.583035107814519,0.0888626480202127,25,1,"2022",80.2824285714286,46.6139881
"2",48454,2021-06-08,0,86400,1,2021-06-07,0,14,-29,170,-0.67713889754146,0.169216191034444,-0.496332400703015,23,0,"2021",68.5516785714286,48.57420635
"3",48455,2021-06-10,1,172800,2,2021-06-08,0,5,19,175,-0.672935971080548,-0.0299091527785171,0.0769198919238203,23,1,"2021",68.5516785714286,48.57420635
"4",48456,2022-09-20,67,86400,1,2022-09-19,67,-10,-40,1540,0.474462952748378,-0.361784725800118,-0.627702717763331,38,1,"2022",70.145869047619,79.933
"5",48457,2022-06-12,130,86400,1,2022-06-11,130,150,300,3660,2.25650377217499,3.1782213864303,3.43283435501008,24,1,"2022",77.0462023809524,40.43343254
"6",48458,2022-06-12,91,86400,1,2022-06-11,91,150,300,3660,2.25650377217499,3.1782213864303,3.43283435501008,24,1,"2022",77.0462023809524,40.43343254
"7",48460,2022-06-12,130,86400,1,2022-06-11,130,150,300,3660,2.25650377217499,3.1782213864303,3.43283435501008,24,1,"2022",77.0462023809524,40.43343254
"8",48461,2021-06-09,0,86400,1,2021-06-08,0,5,19,175,-0.672935971080548,-0.0299091527785171,0.0769198919238203,23,0,"2021",68.5516785714286,48.57420635
"9",48462,2022-06-19,115,86400,1,2022-06-18,115,40,110,4410,2.88694274131176,0.744467184271886,1.16371069669553,25,1,"2022",80.2824285714286,46.6139881
"10",48463,2021-06-13,6,86400,1,2021-06-12,6,-3,22,189,-0.661167776989995,-0.206909458390038,0.112748160212998,24,1,"2021",77.0462023809524,40.43343254
"11",48464,2022-06-11,55,86400,1,2022-06-10,55,150,270,3510,2.13041597834763,3.1782213864303,3.07455167211831,23,1,"2022",68.5516785714286,48.57420635
"12",48466,2022-06-20,261,86400,1,2022-06-19,261,-20,20,4390,2.87013103546811,-0.583035107814519,0.0888626480202127,25,1,"2022",80.2824285714286,46.6139881
"13",48468,2022-06-22,44,86400,1,2022-06-21,44,-10,-40,4350,2.83650762378082,-0.361784725800118,-0.627702717763331,25,1,"2022",80.2824285714286,46.6139881
"14",48469,2022-06-16,128,86400,1,2022-06-15,128,180,280,4200,2.71041982995346,3.8419725324735,3.19397923308224,24,1,"2022",77.0462023809524,40.43343254
"15",48472,2021-06-17,0,777600,9,2021-06-08,0,5,19,175,-0.672935971080548,-0.0299091527785171,0.0769198919238203,23,0,"2021",68.5516785714286,48.57420635
"16",48474,2021-06-18,0,691200,8,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,0,"2021",68.5516785714286,48.57420635
"17",48476,2021-06-17,0,604800,7,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,0,"2021",68.5516785714286,48.57420635
"18",48477,2021-06-23,1,1123200,13,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"19",48478,2022-06-25,26,86400,1,2022-06-24,26,-80,-140,4150,2.66839056534435,-1.91053739990092,-1.82197832740257,25,1,"2022",80.2824285714286,46.6139881
"20",48479,2021-06-20,1,864000,10,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"21",48482,2021-06-17,2,604800,7,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"22",48483,2021-06-21,2,950400,11,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"23",48484,2021-08-12,7,86400,1,2021-08-11,7,-2.1,-8,50.8,-0.777336664369597,-0.186996924008742,-0.245534522678774,32,1,"2021",79.602,57.72093254
"24",48485,2021-09-18,2,8640000,100,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"25",48487,2022-06-10,104,86400,1,2022-06-09,104,120,230,3360,2.00432818452028,2.51447024038709,2.59684142826262,23,1,"2022",68.5516785714286,48.57420635
"26",48488,2021-06-19,3,777600,9,2021-06-10,0,-3,-8,167,-0.679660653418007,-0.206909458390038,-0.245534522678774,23,1,"2021",68.5516785714286,48.57420635
"27",48491,2022-05-31,166,86400,1,2022-05-30,166,90,140,2550,1.32345409785257,1.85071909434389,1.5219933795873,22,1,"2022",68.119880952381,58.82767857
