Date and Time (UTC),Date,Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
5/5/22 1:48,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:50,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:52,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:54,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:55,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:55,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:56,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:57,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:58,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 1:59,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:00,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:00,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:01,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:02,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:03,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:04,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:05,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:06,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:07,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:08,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:09,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:10,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:10,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:11,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:12,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:13,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:13,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:14,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:15,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:16,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:17,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/5/22 2:18,5/5/22,VR2W-137351,A69-1602-52904,,,,,13,,
5/12/22 13:30,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:31,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:32,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:32,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:33,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:34,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:35,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:36,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:36,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:37,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:38,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:39,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:40,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:41,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:42,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:42,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:43,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:44,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:45,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:46,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:47,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:47,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:48,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:49,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:50,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:51,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:51,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:52,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:53,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:54,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:54,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:55,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:56,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:56,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:57,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:58,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 13:59,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 14:00,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 14:00,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 14:02,5/12/22,VR2W-137351,A69-1602-52914,,,,,13,,
5/12/22 14:49,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:50,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:51,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:52,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:53,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:54,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:55,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
5/12/22 14:56,5/12/22,VR2W-137351,A69-1602-52917,,,,,13,,
