Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
6/2/22 06:16,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:16,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:17,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:18,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:18,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:19,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:20,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:21,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:22,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:23,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:23,VR2W-137354,A69-1602-48466,,,,,15,,
6/2/22 06:24,VR2W-137354,A69-1602-48466,,,,,15,,
6/3/22 16:55,VR2W-137354,A69-1602-48731,,,,,15,,
6/3/22 16:56,VR2W-137354,A69-1602-48731,,,,,15,,
6/3/22 16:57,VR2W-137354,A69-1602-48731,,,,,15,,
6/3/22 16:58,VR2W-137354,A69-1602-48731,,,,,15,,
6/3/22 16:59,VR2W-137354,A69-1602-48731,,,,,15,,
6/6/22 22:02,VR2W-137354,A69-1602-48727,,,,,15,,
6/6/22 22:02,VR2W-137354,A69-1602-48727,,,,,15,,
6/6/22 22:03,VR2W-137354,A69-1602-48727,,,,,15,,
6/6/22 22:04,VR2W-137354,A69-1602-48727,,,,,15,,
6/7/22 18:53,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:54,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:55,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:56,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:57,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:58,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:58,VR2W-137354,A69-1602-52900,,,,,15,,
6/7/22 18:59,VR2W-137354,A69-1602-52900,,,,,15,,
