"","date","transmitter_id","rkm","station_name","start_rkm","distance"
"1",2021-06-07,48725,238.2,16,238.9,-0.700000000000017
"2",2021-06-07,48729,238.2,16,238.9,-0.700000000000017
"3",2021-06-07,48732,238.2,16,238.9,-0.700000000000017
"4",2021-06-08,48725,232,15,238.9,-6.90000000000001
"5",2021-06-08,48726,232,15,238.9,-6.90000000000001
"6",2021-06-08,48732,232,15,238.9,-6.90000000000001
"7",2021-06-08,48454,238.2,16,238.9,-0.700000000000017
"8",2021-06-08,48456,238.2,16,238.9,-0.700000000000017
"9",2021-06-08,48458,238.2,16,238.2,0
"10",2021-06-08,48459,238.2,16,237,1.19999999999999
"11",2021-06-08,48461,238.2,16,238.2,0
"12",2021-06-08,48469,238.2,16,238.2,0
"13",2021-06-08,48472,238.2,16,238.2,0
"14",2021-06-08,48726,238.2,16,238.9,-0.700000000000017
"15",2021-06-08,48727,238.2,16,238.9,-0.700000000000017
"16",2021-06-09,48726,232,15,238.9,-6.90000000000001
"17",2021-06-09,48732,232,15,238.9,-6.90000000000001
"18",2021-06-09,48456,238.2,16,238.9,-0.700000000000017
"19",2021-06-09,48458,238.2,16,238.2,0
"20",2021-06-09,48461,238.2,16,238.2,0
"21",2021-06-09,48466,238.2,16,237,1.19999999999999
"22",2021-06-09,48727,238.2,16,238.9,-0.700000000000017
"23",2021-06-09,48730,238.2,16,238.9,-0.700000000000017
"24",2021-06-10,48732,232,15,238.9,-6.90000000000001
"25",2021-06-10,48455,238.2,16,237,1.19999999999999
"26",2021-06-10,48456,238.2,16,238.9,-0.700000000000017
"27",2021-06-10,48458,238.2,16,238.2,0
"28",2021-06-10,48460,238.2,16,238.9,-0.700000000000017
"29",2021-06-10,48461,238.2,16,238.2,0
"30",2021-06-11,48458,238.2,16,238.2,0
"31",2021-06-11,48460,238.2,16,238.9,-0.700000000000017
"32",2021-06-11,48461,238.2,16,238.2,0
"33",2021-06-11,48466,238.2,16,237,1.19999999999999
"34",2021-06-12,48463,232,15,237,-5
"35",2021-06-12,48725,232,15,238.9,-6.90000000000001
"36",2021-06-12,48458,238.2,16,238.2,0
"37",2021-06-12,48461,238.2,16,238.2,0
"38",2021-06-12,48463,238.2,16,237,1.19999999999999
"39",2021-06-13,48463,232,15,237,-5
"40",2021-06-13,48458,238.2,16,238.2,0
"41",2021-06-13,48461,238.2,16,238.2,0
"42",2021-06-14,48463,232,15,237,-5
"43",2021-06-14,48458,238.2,16,238.2,0
"44",2021-06-14,48461,238.2,16,238.2,0
"45",2021-06-14,48463,238.2,16,237,1.19999999999999
"46",2021-06-15,48458,238.2,16,238.2,0
"47",2021-06-15,48461,238.2,16,238.2,0
"48",2021-06-16,48458,238.2,16,238.2,0
"49",2021-06-16,48461,238.2,16,238.2,0
"50",2021-06-17,48476,1.4,1,1.4,0
"51",2021-06-17,48482,1.4,1,3.6,-2.2
"52",2021-06-17,48458,238.2,16,238.2,0
"53",2021-06-17,48461,238.2,16,238.2,0
"54",2021-06-17,48472,238.2,16,238.2,0
"55",2021-06-18,48474,1.4,1,1.4,0
"56",2021-06-18,48476,1.4,1,1.4,0
"57",2021-06-18,48484,1.4,1,1.4,0
"58",2021-06-18,48462,40.4,3,46.3,-5.9
"59",2021-06-18,48458,238.2,16,238.2,0
"60",2021-06-18,48461,238.2,16,238.2,0
"61",2021-06-19,48474,1.4,1,1.4,0
"62",2021-06-19,48476,1.4,1,1.4,0
"63",2021-06-19,48488,1.4,1,4.8,-3.4
"64",2021-06-19,48458,238.2,16,238.2,0
"65",2021-06-19,48461,238.2,16,238.2,0
"66",2021-06-19,48730,238.2,16,238.9,-0.700000000000017
"67",2021-06-20,48474,1.4,1,1.4,0
"68",2021-06-20,48476,1.4,1,1.4,0
"69",2021-06-20,48479,1.4,1,2.7,-1.3
"70",2021-06-20,48482,1.4,1,3.6,-2.2
"71",2021-06-20,48488,1.4,1,4.8,-3.4
"72",2021-06-20,48457,238.2,16,238.9,-0.700000000000017
"73",2021-06-20,48458,238.2,16,238.2,0
"74",2021-06-20,48461,238.2,16,238.2,0
"75",2021-06-20,48472,238.2,16,238.2,0
"76",2021-06-21,48474,1.4,1,1.4,0
"77",2021-06-21,48476,1.4,1,1.4,0
"78",2021-06-21,48482,1.4,1,3.6,-2.2
"79",2021-06-21,48483,1.4,1,3.6,-2.2
"80",2021-06-21,48484,1.4,1,1.4,0
"81",2021-06-21,48462,40.4,3,46.3,-5.9
"82",2021-06-21,48469,232,15,238.2,-6.19999999999999
"83",2021-06-21,48461,238.2,16,238.2,0
"84",2021-06-22,48474,1.4,1,1.4,0
"85",2021-06-22,48476,1.4,1,1.4,0
"86",2021-06-22,48482,1.4,1,3.6,-2.2
"87",2021-06-22,48484,1.4,1,1.4,0
"88",2021-06-22,48462,40.4,3,46.3,-5.9
"89",2021-06-22,48461,238.2,16,238.2,0
"90",2021-06-23,48474,1.4,1,1.4,0
"91",2021-06-23,48476,1.4,1,1.4,0
"92",2021-06-23,48477,1.4,1,2.7,-1.3
"93",2021-06-23,48484,1.4,1,1.4,0
"94",2021-06-23,48461,238.2,16,238.2,0
"95",2021-06-24,48474,1.4,1,1.4,0
"96",2021-06-24,48476,1.4,1,1.4,0
"97",2021-06-24,48477,1.4,1,2.7,-1.3
"98",2021-06-24,48482,1.4,1,3.6,-2.2
"99",2021-06-24,48488,1.4,1,4.8,-3.4
"100",2021-06-24,48461,238.2,16,238.2,0
"101",2021-06-25,48474,1.4,1,1.4,0
"102",2021-06-25,48476,1.4,1,1.4,0
"103",2021-06-25,48484,1.4,1,1.4,0
"104",2021-06-25,48461,238.2,16,238.2,0
"105",2021-06-26,48474,1.4,1,1.4,0
"106",2021-06-26,48476,1.4,1,1.4,0
"107",2021-06-26,48461,238.2,16,238.2,0
"108",2021-06-27,48474,1.4,1,1.4,0
"109",2021-06-27,48476,1.4,1,1.4,0
"110",2021-06-27,48482,1.4,1,3.6,-2.2
"111",2021-06-27,48461,238.2,16,238.2,0
"112",2021-06-28,48474,1.4,1,1.4,0
"113",2021-06-28,48476,1.4,1,1.4,0
"114",2021-06-28,48488,1.4,1,4.8,-3.4
"115",2021-06-28,48461,238.2,16,238.2,0
"116",2021-06-29,48474,1.4,1,1.4,0
"117",2021-06-29,48476,1.4,1,1.4,0
"118",2021-06-29,48482,1.4,1,3.6,-2.2
"119",2021-06-29,48484,1.4,1,1.4,0
"120",2021-06-29,48461,238.2,16,238.2,0
"121",2021-06-30,48474,1.4,1,1.4,0
"122",2021-06-30,48476,1.4,1,1.4,0
"123",2021-06-30,48461,238.2,16,238.2,0
"124",2021-07-01,48474,1.4,1,1.4,0
"125",2021-07-01,48476,1.4,1,1.4,0
"126",2021-07-01,48462,40.4,3,46.3,-5.9
"127",2021-07-01,48469,232,15,238.2,-6.19999999999999
"128",2021-07-01,48461,238.2,16,238.2,0
"129",2021-07-02,48474,1.4,1,1.4,0
"130",2021-07-02,48476,1.4,1,1.4,0
"131",2021-07-02,48483,1.4,1,3.6,-2.2
"132",2021-07-02,48484,1.4,1,1.4,0
"133",2021-07-02,48462,40.4,3,46.3,-5.9
"134",2021-07-02,48469,232,15,238.2,-6.19999999999999
"135",2021-07-02,48458,238.2,16,238.2,0
"136",2021-07-02,48461,238.2,16,238.2,0
"137",2021-07-02,48725,238.2,16,238.9,-0.700000000000017
"138",2021-07-03,48474,1.4,1,1.4,0
"139",2021-07-03,48476,1.4,1,1.4,0
"140",2021-07-03,48462,40.4,3,46.3,-5.9
"141",2021-07-03,48469,232,15,238.2,-6.19999999999999
"142",2021-07-03,48732,232,15,238.9,-6.90000000000001
"143",2021-07-03,48458,238.2,16,238.2,0
"144",2021-07-03,48461,238.2,16,238.2,0
"145",2021-07-03,48725,238.2,16,238.9,-0.700000000000017
"146",2021-07-04,48474,1.4,1,1.4,0
"147",2021-07-04,48476,1.4,1,1.4,0
"148",2021-07-04,48484,1.4,1,1.4,0
"149",2021-07-04,48488,1.4,1,4.8,-3.4
"150",2021-07-04,48462,40.4,3,46.3,-5.9
"151",2021-07-04,48469,232,15,238.2,-6.19999999999999
"152",2021-07-04,48461,238.2,16,238.2,0
"153",2021-07-05,48474,1.4,1,1.4,0
"154",2021-07-05,48476,1.4,1,1.4,0
"155",2021-07-05,48479,1.4,1,2.7,-1.3
"156",2021-07-05,48488,1.4,1,4.8,-3.4
"157",2021-07-05,48462,40.4,3,46.3,-5.9
"158",2021-07-05,48461,238.2,16,238.2,0
"159",2021-07-06,48474,1.4,1,1.4,0
"160",2021-07-06,48476,1.4,1,1.4,0
"161",2021-07-06,48479,1.4,1,2.7,-1.3
"162",2021-07-06,48484,1.4,1,1.4,0
"163",2021-07-06,48462,40.4,3,46.3,-5.9
"164",2021-07-06,48469,232,15,238.2,-6.19999999999999
"165",2021-07-06,48732,232,15,238.9,-6.90000000000001
"166",2021-07-06,48458,238.2,16,238.2,0
"167",2021-07-06,48461,238.2,16,238.2,0
"168",2021-07-07,48474,1.4,1,1.4,0
"169",2021-07-07,48476,1.4,1,1.4,0
"170",2021-07-07,48484,1.4,1,1.4,0
"171",2021-07-07,48488,1.4,1,4.8,-3.4
"172",2021-07-07,48462,40.4,3,46.3,-5.9
"173",2021-07-07,48468,79.3,4,46.3,33
