Date,Time,Chan,Freq (kHz),Type,Code Space,ID,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
11.05.22,12:59:36.661,2,69,Coded Pinger,A69-1602,48486,51,Manual,6,42.86447,-97.27907,
11.05.22,12:33:54.730,2,69,Coded Pinger,A69-1602,48476,59,Manual,0,42.88032,-97.27927,
11.05.22,12:33:07.242,2,69,Coded Pinger,A69-1602,48476,63,Manual,0,42.88089,-97.27908,
11.05.22,12:26:38.756,2,69,Coded Pinger,A69-1602,48480,65,Manual,0,42.88674,-97.27618,
11.05.22,12:18:04.657,2,69,Coded Pinger,A69-1602,48479,70,Manual,0,42.89243,-97.27562,
11.05.22,12:12:51.114,2,69,Coded Pinger,A69-1602,48482,67,Manual,0,42.89547,-97.27665,
11.05.22,12:10:44.220,2,69,Coded Pinger,A69-1602,48485,55,Manual,0,42.8972,-97.27776,
11.05.22,12:08:11.964,2,69,Coded Pinger,A69-1602,48483,55,Manual,0,42.89898,-97.27914,
10.05.22,10:27:47.418,2,69,Coded Pinger,A69-1602,48475,61,Manual,6,43.04833,-97.39145,
10.05.22,10:27:25,,,GPS,,,,,,43.04807,-97.3917,
10.05.22,10:26:11.140,2,69,Coded Pinger,A69-1602,48475,46,Manual,6,43.04802,-97.39228,
