Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-06-15,12:49:52.024,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,67,Manual,6,43.02083,-97.36533,
2022-06-15,12:49:08.164,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,60,Manual,6,43.02092,-97.36507,
2022-06-15,12:48:14.440,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,62,Manual,6,43.02075,-97.36537,
2022-06-15,12:46:20,,,GPS,,,,,,,,,,,,,,,43.02040,-97.36530,
2022-06-15,12:45:41.174,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,90,Manual,6,43.02023,-97.36509,
2022-06-15,12:45:06.911,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,71,Manual,6,43.01993,-97.36514,
2022-06-15,12:44:17.984,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,71,Manual,6,43.02023,-97.36537,
2022-06-15,12:43:21.740,2,69,Coded Pinger,A69-1602,52894,,,,,,,,,,66,Manual,6,43.02103,-97.36559,
2022-06-15,12:07:43.883,2,69,Coded Pinger,A69-1602,48475,,,,,,,,,,57,Manual,6,43.04861,-97.39095,
2022-06-15,12:06:55.717,2,69,Coded Pinger,A69-1602,48475,,,,,,,,,,64,Manual,6,43.04809,-97.39189,
2022-06-15,11:52:34.932,2,69,Coded Pinger,A69-1602,52918,,,,,,,,,,63,Manual,0,43.04858,-97.39686,
2022-06-15,11:51:01,,,GPS,,,,,,,,,,,,,,,43.04841,-97.39667,
2022-06-15,11:49:58.817,2,69,Coded Pinger,A69-1602,52918,,,,,,,,,,96,Manual,0,43.04857,-97.39665,
2022-06-15,11:21:34.736,2,69,Coded Pinger,A69-1602,48465,,,,,,,,,,55,Manual,18,43.05099,-97.40627,
2022-06-15,10:51:40.714,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,59,Manual,0,43.06438,-97.42286,
2022-06-15,10:46:49.772,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,63,Manual,0,43.06440,-97.42337,
2022-06-15,10:46:05,,,GPS,,,,,,,,,,,,,,,43.06435,-97.42328,
2022-06-15,10:45:53.189,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,76,Manual,0,43.06435,-97.42336,
2022-06-15,10:45:08.107,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,86,Manual,0,43.06438,-97.42371,
