"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Stopped (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
1,03/31/2021 10:12:21 AM,44.560,0.0,,,
2,03/31/2021 12:12:21 PM,44.560,0.0,,,
3,03/31/2021 02:12:21 PM,45.104,0.0,,,
4,03/31/2021 04:12:21 PM,45.828,0.0,,,
5,03/31/2021 06:12:21 PM,46.548,0.0,,,
6,03/31/2021 08:12:21 PM,46.728,0.0,,,
7,03/31/2021 10:12:21 PM,46.188,0.0,,,
8,04/01/2021 12:12:21 AM,45.648,0.0,,,
9,04/01/2021 02:12:21 AM,45.104,0.0,,,
10,04/01/2021 04:12:21 AM,44.560,0.0,,,
11,04/01/2021 06:12:21 AM,44.195,0.0,,,
12,04/01/2021 08:12:21 AM,43.831,0.0,,,
13,04/01/2021 10:12:21 AM,43.648,0.0,,,
14,04/01/2021 12:12:21 PM,43.831,0.0,,,
15,04/01/2021 02:12:21 PM,44.560,0.0,,,
16,04/01/2021 04:12:21 PM,46.008,0.0,,,
17,04/01/2021 06:12:21 PM,47.088,0.0,,,
18,04/01/2021 08:12:21 PM,47.624,0.0,,,
19,04/01/2021 10:12:21 PM,47.446,0.0,,,
20,04/02/2021 12:12:21 AM,46.728,0.0,,,
21,04/02/2021 02:12:21 AM,46.188,0.0,,,
22,04/02/2021 04:12:21 AM,45.648,0.0,,,
23,04/02/2021 06:12:21 AM,45.286,0.0,,,
24,04/02/2021 08:12:21 AM,44.922,0.0,,,
25,04/02/2021 10:12:21 AM,44.560,0.0,,,
26,04/02/2021 12:12:21 PM,44.922,0.0,,,
27,04/02/2021 02:12:21 PM,46.008,0.0,,,
28,04/02/2021 04:12:21 PM,47.446,0.0,,,
29,04/02/2021 06:12:21 PM,48.871,0.0,,,
30,04/02/2021 08:12:21 PM,49.759,0.0,,,
31,04/02/2021 10:12:21 PM,49.759,0.0,,,
