Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
8/15/22 17:43,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:44,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:45,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:46,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:46,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:47,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:48,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:49,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:50,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:51,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:51,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:52,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:53,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:53,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:54,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:55,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:55,VR2W-135317,A69-1602-48730,,,,,10,,
8/15/22 17:56,VR2W-135317,A69-1602-48730,,,,,10,,
8/18/22 10:06,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:07,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:08,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:08,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:09,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:10,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:11,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:12,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:13,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:14,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:15,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:16,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:17,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:18,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:18,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:19,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:20,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:21,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:21,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:22,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:23,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:24,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:25,VR2W-135317,A69-1602-48731,,,,,10,,
8/18/22 10:25,VR2W-135317,A69-1602-48731,,,,,10,,
