Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Time,Hour,Date
8/18/22 15:05,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:05,10,8/18/22
8/18/22 15:05,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:05,10,8/18/22
8/18/22 15:06,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:06,10,8/18/22
8/18/22 15:07,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:07,10,8/18/22
8/18/22 15:08,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:08,10,8/18/22
8/18/22 15:09,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:09,10,8/18/22
8/18/22 15:09,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:09,10,8/18/22
8/18/22 15:10,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:10,10,8/18/22
8/18/22 15:10,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:10,10,8/18/22
8/18/22 15:15,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:15,10,8/18/22
8/18/22 15:15,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:15,10,8/18/22
8/18/22 15:16,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:16,10,8/18/22
8/18/22 15:17,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:17,10,8/18/22
8/18/22 15:18,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:18,10,8/18/22
8/18/22 15:18,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:18,10,8/18/22
8/18/22 15:19,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:19,10,8/18/22
8/18/22 15:19,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:19,10,8/18/22
8/18/22 15:20,VR2W-137355,A69-1604-28720,,,,,12,,,8/18/22 10:20,10,8/18/22
