Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-06-27,13:45:51,,,GPS,,,,,,,,,,,,,,,43.13754,-97.53542,
2022-06-27,13:44:59.792,2,69,Coded Pinger,A69-1602,52911,,,,,,,,,,75,Manual,0,43.13756,-97.53537,
2022-06-27,13:44:10.358,2,69,Coded Pinger,A69-1602,52911,,,,,,,,,,83,Manual,0,43.13762,-97.53546,
2022-06-27,13:43:14.047,2,69,Coded Pinger,A69-1602,52911,,,,,,,,,,68,Manual,0,43.13770,-97.53610,
2022-06-27,13:42:14.335,2,69,Coded Pinger,A69-1602,52911,,,,,,,,,,58,Manual,12,43.13774,-97.53629,
2022-06-27,12:27:30.275,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,77,Manual,18,43.15789,-97.59793,
2022-06-27,12:26:33.118,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,83,Manual,0,43.15781,-97.59811,
2022-06-27,12:25:28,,,GPS,,,,,,,,,,,,,,,43.15772,-97.59805,
2022-06-27,12:24:31.733,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,97,Manual,0,43.15786,-97.59819,
2022-06-27,12:23:56.686,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,80,Manual,0,43.15801,-97.59801,
2022-06-27,12:23:22.351,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,74,Manual,12,43.15807,-97.59795,
2022-06-27,12:22:48.360,2,69,Coded Pinger,A69-1602,52926,,,,,,,,,,58,Manual,12,43.15820,-97.59795,
2022-06-27,11:29:49.699,2,69,Coded Pinger,A69-1602,52925,,,,,,,,,,62,Manual,12,43.19027,-97.64809,
2022-06-27,11:28:53.066,2,69,Coded Pinger,A69-1602,52925,,,,,,,,,,52,Manual,12,43.19030,-97.64977,
